User_ID,Signup_Date,Country,Subscription_Price
1,12/1/2023,Canada,$0.00 
2,12/1/2023,USA,$19.99 
3,12/1/2023,Germany,$0.00 
4,12/2/2023,Australia,$0.00 
5,12/2/2023,Germany,$19.99 
6,12/2/2023,Korea,$19.99 
7,12/2/2023,India,$0.00 
8,12/2/2023,Japan,$49.99 
9,12/3/2023,USA,$0.00 
10,12/3/2023,Japan,$19.99 
11,12/3/2023,Australia,$0.00 
12,12/3/2023,China,$49.99 
13,12/4/2023,India,$49.99 
14,12/4/2023,China,$19.99 
15,12/4/2023,UK,$0.00 
16,12/4/2023,Canada,$0.00 
17,12/5/2023,UK,$19.99 
18,12/5/2023,Canada,$19.99 
19,12/5/2023,USA,$0.00 
20,12/5/2023,Germany,$19.99 
21,12/5/2023,Korea,$49.99 
22,12/6/2023,Korea,$0.00 
23,12/6/2023,India,$19.99 
24,12/6/2023,Japan,$0.00 
25,12/7/2023,Germany,$19.99 
26,12/7/2023,Japan,$0.00 
27,12/7/2023,Australia,$19.99 
28,12/7/2023,China,$19.99 
29,12/8/2023,Australia,$0.00 
30,12/8/2023,China,$0.00 
31,12/8/2023,UK,$0.00 
32,12/8/2023,Canada,$19.99 
33,12/8/2023,USA,$49.99 
34,12/9/2023,Canada,$0.00 
35,12/9/2023,USA,$0.00 
36,12/9/2023,Germany,$0.00 
37,12/9/2023,Korea,$49.99 
38,12/10/2023,India,$49.99 
39,12/10/2023,Japan,$19.99 
40,12/10/2023,Korea,$19.99 
41,12/10/2023,India,$0.00 
42,12/10/2023,Japan,$0.00 
43,12/11/2023,Australia,$19.99 
44,12/11/2023,China,$0.00 
45,12/11/2023,UK,$0.00 
46,12/12/2023,Germany,$19.99 
47,12/12/2023,China,$0.00 
48,12/12/2023,UK,$19.99 
49,12/12/2023,Canada,$19.99 
50,12/12/2023,USA,$19.99 
51,12/13/2023,Korea,$0.00 
52,12/13/2023,USA,$0.00 
53,12/13/2023,Germany,$19.99 
54,12/13/2023,Korea,$19.99 
55,12/14/2023,India,$19.99 
56,12/14/2023,Japan,$19.99 
57,12/14/2023,Australia,$49.99 
58,12/15/2023,Canada,$0.00 
59,12/15/2023,Japan,$19.99 
60,12/15/2023,Australia,$19.99 
61,12/15/2023,China,$19.99 
62,12/15/2023,UK,$0.00 
63,12/16/2023,USA,$19.99 
64,12/16/2023,UK,$19.99 
65,12/16/2023,Canada,$0.00 
66,12/16/2023,USA,$19.99 
67,12/17/2023,Germany,$0.00 
68,12/17/2023,Korea,$0.00 
69,12/18/2023,China,$0.00 
70,12/18/2023,Korea,$49.99 
71,12/18/2023,India,$0.00 
72,12/18/2023,Japan,$0.00 
73,12/18/2023,Australia,$49.99 
74,12/19/2023,UK,$0.00 
75,12/19/2023,Australia,$0.00 
76,12/19/2023,China,$19.99 
77,12/19/2023,UK,$49.99 
78,12/20/2023,Japan,$19.99 
79,12/20/2023,Canada,$0.00 
80,12/20/2023,USA,$19.99 
81,12/21/2023,USA,$0.00 
82,12/21/2023,Germany,$19.99 
83,12/21/2023,Korea,$19.99 
84,12/21/2023,India,$0.00 
85,12/22/2023,Australia,$0.00 
86,12/22/2023,India,$0.00 
87,12/22/2023,Japan,$0.00 
88,12/22/2023,Australia,$0.00 
89,12/23/2023,Korea,$49.99 
90,12/23/2023,China,$0.00 
91,12/23/2023,UK,$19.99 
92,12/24/2023,UK,$19.99 
93,12/24/2023,Canada,$19.99 
94,12/24/2023,USA,$0.00 
95,12/24/2023,Germany,$49.99 
96,12/25/2023,USA,$0.00 
97,12/25/2023,India,$19.99 
98,12/25/2023,Germany,$19.99 
99,12/25/2023,Korea,$0.00 
100,12/25/2023,India,$49.99 
101,12/26/2023,Japan,$19.99 
102,12/26/2023,Australia,$0.00 
103,12/27/2023,Australia,$19.99 
104,12/27/2023,China,$0.00 
105,12/27/2023,UK,$0.00 
106,12/27/2023,Canada,$19.99 
107,12/28/2023,UK,$19.99 
108,12/28/2023,Germany,$0.00 
109,12/28/2023,Canada,$0.00 
110,12/28/2023,USA,$0.00 
111,12/28/2023,Germany,$0.00 
112,12/29/2023,Korea,$19.99 
113,12/29/2023,India,$19.99 
114,12/30/2023,India,$0.00 
115,12/30/2023,Japan,$19.99 
116,12/30/2023,Australia,$19.99 
117,12/30/2023,China,$0.00 
118,12/31/2023,China,$0.00 
119,12/31/2023,UK,$19.99 
120,12/31/2023,Canada,$49.99 
