User,Time,Coffee,Age,Images_Analyzed,Productivity
1,8,0,23,20,Good
1,13,0,23,14,Bad
1,17,0,23,18,Good
1,22,0,23,15,Bad
1,8,2,23,22,Good
1,13,2,23,15,Bad
1,17,2,23,20,Good
1,22,2,23,17,Good
1,8,4,23,23,Good
1,13,4,23,16,Bad
1,17,4,23,21,Good
1,22,4,23,17,Good
1,8,6,23,18,Good
1,13,6,23,13,Bad
1,17,6,23,16,Bad
1,22,6,23,14,Bad
2,6,0,65,19,Good
2,12,0,65,13,Bad
2,16,0,65,17,Good
2,20,0,65,14,Bad
2,6,2,65,21,Good
2,12,2,65,15,Bad
2,16,2,65,19,Good
2,20,2,65,16,Bad
2,6,4,65,22,Good
2,12,4,65,15,Bad
2,16,4,65,20,Good
2,20,4,65,16,Bad
2,6,6,65,17,Good
2,12,6,65,12,Bad
2,16,6,65,15,Bad
2,20,6,65,13,Bad
3,7,0,31,21,Good
3,13,0,31,13,Bad
3,18,0,31,20,Good
3,23,0,31,16,Bad
3,7,2,31,24,Good
3,13,2,31,13,Bad
3,18,2,31,24,Good
3,23,2,31,16,Bad
3,7,4,31,25,Good
3,13,4,31,14,Bad
3,18,4,31,25,Good
3,23,4,31,18,Good
3,7,6,31,19,Good
3,13,6,31,11,Bad
3,18,6,31,14,Bad
3,23,6,31,12,Bad
4,8,0,45,22,Good
4,13,0,45,15,Bad
4,17,0,45,18,Good
4,22,0,45,13,Bad
4,8,2,45,26,Good
4,13,2,45,12,Bad
4,17,2,45,22,Good
4,22,2,45,13,Bad
4,8,4,45,26,Good
4,13,4,45,12,Bad
4,17,4,45,25,Good
4,22,4,45,15,Bad
4,8,6,45,18,Good
4,13,6,45,9,Bad
4,17,6,45,16,Bad
4,22,6,45,11,Bad
5,9,0,52,21,Good
5,14,0,52,14,Bad
5,17,0,52,17,Good
5,23,0,52,12,Bad
5,9,2,52,25,Good
5,14,2,52,11,Bad
5,17,2,52,21,Good
5,23,2,52,12,Bad
5,9,4,52,25,Good
5,14,4,52,11,Bad
5,17,4,52,24,Good
5,23,4,52,14,Bad
5,9,6,52,17,Good
5,14,6,52,9,Bad
5,17,6,52,15,Bad
5,23,6,52,10,Bad
